"SUID","AverageShortestPathLength","BetweennessCentrality","canonicalName","ClosenessCentrality","ClusteringCoefficient","Drug target","Eccentricity","EdgeCount","hiddenLabel","Indegree","IsSingleNode","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","Rule change in X cell line","selected","SelfLoops","shared name","Stress"
"116","6.55172414","0.012471","CFLAR","0.15263158","0.0",,"11","3","","2","false","","Unclustered","0.5","CFLAR","8.0","1","0","SW620","false","0","CFLAR","516"
"117","1.5","0.00130894","STAT2","0.66666667","0.0",,"2","2","","1","false","","Unclustered","0.6666666666666666","STAT2","4.5","1","0","","false","0","STAT2","97"
"118","1.0","0.00248761","ISGF3_c","1.0","0.0",,"1","3","","2","false","","Unclustered","0.5","ISGF3_c","4.666666666666667","1","0","","false","0","ISGF3_c","100"
"119","7.29655172","0.01518975","SOCS1_g","0.13705104","0.0",,"13","2","","1","false","","Unclustered","0.6666666666666666","SOCS1_g","6.0","1","0","","false","0","SOCS1_g","686"
"120","5.6","0.04357683","TRAF6","0.17857143","0.0",,"10","4","","2","false","","Unclustered","0.4","TRAF6","5.75","2","0","","false","0","TRAF6","2257"
"121","5.36551724","0.00190174","PIAS1","0.18637532","0.0",,"10","4","","1","false","","Unclustered","0.4","PIAS1","9.0","3","0","","false","0","PIAS1","107"
"122","7.11034483","0.02455565","SRF","0.14064016","0.08333333",,"11","4","","3","false","","Unclustered","2.0","SRF","6.25","1","0","","false","0","SRF","1189"
"123","4.60689655","0.06206252","IKBKB","0.21706587","0.02222222","true","8","10","","4","false","Cluster 1","Unclustered","1.6666666666666667","IKBKB","5.9","6","0","AGS,SW620","false","0","IKBKB","2268"
"124","7.2137931","0.0336657","STAT1","0.13862333","0.01388889",,"11","9","","6","false","Cluster 1","Unclustered","2.0","STAT1","6.777777777777778","3","0","","false","0","STAT1","1419"
"125","4.13103448","0.03627408","EP300","0.24207012","0.07142857",,"8","7","","3","false","Cluster 6","Unclustered","1.0666666666666667","EP300","8.571428571428571","4","0","SW620","false","0","EP300","1503"
"126","9.0","0.00365678","LIMK2","0.11111111","0.0",,"13","3","","2","false","","Unclustered","0.5","LIMK2","6.333333333333333","1","0","SW620","false","0","LIMK2","173"
"127","5.29655172","0.08506791","STAT3","0.18880208","0.00757576","true","10","12","","9","false","Cluster 2|Cluster 1","Clustered","2.0","STAT3","8.5","3","0","SW620","false","0","STAT3","4817"
"128","4.33793103","0.00634579","DUSP6","0.23052464","0.0",,"7","3","","2","false","","Unclustered","0.6666666666666666","DUSP6","13.5","1","1","","false","0","DUSP6","343"
"129","6.31724138","0.01538132","SOCS1","0.15829694","0.0",,"12","3","","1","false","","Unclustered","0.5","SOCS1","4.0","2","0","","false","0","SOCS1","1000"
"130","4.31724138","0.01408847","ILK","0.23162939","0.0",,"7","2","","1","false","","Unclustered","0.6666666666666666","ILK","10.5","1","0","","false","0","ILK","596"
"131","5.29655172","0.00608622","PLK1","0.18880208","0.0",,"9","4","","2","false","","Unclustered","0.4","PLK1","7.25","2","0","","false","0","PLK1","209"
"132","4.15862069","0.01791373","S6K_f","0.24046434","0.0",,"8","7","","2","false","","Unclustered","0.25","S6K_f","6.285714285714286","5","0","","false","0","S6K_f","666"
"133","3.91034483","0.01784886","RSK_f","0.25573192","0.05454545","true","7","11","","2","false","Cluster 4","Unclustered","3.0","RSK_f","7.090909090909091","9","0","","false","0","RSK_f","859"
"134","4.39310345","0.03838278","PRKCD","0.22762951","0.02380952",,"9","7","","2","false","Cluster 1","Unclustered","2.0","PRKCD","7.285714285714286","5","0","","false","0","PRKCD","1336"
"135","6.23448276","0.0101325","PLCG1","0.16039823","0.0",,"10","3","","1","false","","Unclustered","0.5","PLCG1","3.0","2","0","","false","0","PLCG1","670"
"136","5.57931034","0.01310541","VAV1","0.17923362","0.0",,"9","2","","1","false","","Unclustered","0.6666666666666666","VAV1","6.5","1","0","","false","0","VAV1","642"
"137","6.51724138","0.00337929","PRKCA","0.15343915","0.0",,"9","2","","1","false","","Unclustered","0.6666666666666666","PRKCA","4.5","1","0","","false","0","PRKCA","103"
"138","5.94482759","0.01788295","SOS1","0.16821346","0.0",,"9","4","","3","false","Cluster 2","Unclustered","0.4","SOS1","7.75","1","0","AGS,SW620","false","0","SOS1","638"
"139","5.63448276","0.02015249","GAB_f","0.17747858","0.0",,"9","4","","2","false","Cluster 2","Unclustered","0.4","GAB_f","7.75","2","0","AGS,SW620","false","0","GAB_f","927"
"140","3.42758621","0.14620273","PPP1CA","0.2917505","0.05357143",,"7","8","","2","false","","Unclustered","0.8571428571428571","PPP1CA","10.375","6","0","","false","0","PPP1CA","6837"
"141","6.36551724","0.00931323","LIF","0.15709642","0.0",,"11","2","","1","false","","Unclustered","0.6666666666666666","LIF","6.0","1","0","","false","0","LIF","506"
"142","3.34482759","0.10407377","ERK_f","0.29896907","0.02619048",,"6","23","","3","false","Cluster 2","Clustered","1.8571428571428572","ERK_f","7.333333333333333","20","2","AGS,SW620","false","0","ERK_f","5374"
"143","4.24137931","0.01901105","MAP2K3","0.23577236","0.0",,"7","3","","2","false","","Unclustered","0.5","MAP2K3","8.0","1","0","","false","0","MAP2K3","1174"
"144","4.4","0.0726384","JNK_f","0.22727273","0.0","true","7","10","","4","false","","Unclustered","0.18181818181818182","JNK_f","6.7","6","0","","false","0","JNK_f","3615"
"145","3.26206897","0.10917044","MAPK14","0.30655391","0.01666667","true","6","17","","3","false","","Unclustered","0.7857142857142857","MAPK14","7.0","14","1","AGS","false","0","MAPK14","6011"
"146","5.35172414","0.01601644","MAP2K7","0.18685567","0.0",,"8","4","","3","false","","Unclustered","0.4","MAP2K7","5.25","1","0","","false","0","MAP2K7","758"
"147","4.05517241","0.0466143","MAP2K4","0.24659864","0.03333333",,"7","6","","4","false","","Unclustered","2.0","MAP2K4","6.5","2","0","","false","0","MAP2K4","3024"
"148","4.97241379","0.02647691","KRAS","0.20110957","0.0",,"8","4","","2","false","Cluster 2","Unclustered","0.4","KRAS","4.25","2","0","","false","0","KRAS","1071"
"149","5.93793103","0.00145794","PTPN11","0.16840883","0.0",,"9","2","","1","false","Cluster 2","Unclustered","0.6666666666666666","PTPN11","4.0","1","0","","false","0","PTPN11","51"
