mutated_node	node_ko	drugs	growth	nb_fixpoints	stable_state
SRC%0	MEK_f%0,SYK%0	PD-P5	2.0	1	01112111011010001000011111111010110100001000001111110000111111011010110001011111101111011001110111010000100011010111111110011000110001111101010001
SRC%0	PIK3CA%0,CTNNB1%0	PI-PK	3.0	1	01113111111011001000011111100010110100001100001111110000011111011110101111111111101111011001110111010000101111010111111110011000110001111101010000
SRC%0	PIK3CA%0,JNK_f%0	PI-JN	n/a	0	-
SRC%0	PIK3CA%0,RSK_f%0	PI-D1	2.0	1	01112111111011001000011111111010110100001100001111110000011111011110101111011111101111011001110111010000101111010111111110011000110001111101010000
SRC%0	PIK3CA%0,IKBKB%0	PI-60	3.0	1	01113111111011001000011111111010110100001100001111110000011111011110101111111111101101011001110110010000101111010111111110011000110001111101010000
SRC%0	PIK3CA%0,TGFBR1%0,ACVR1%0	PI-SB	3.0	1	01113111111011001000011111111010110100001100001111110000011111011110101111111111101111011001110111010000101111000111111100010000110001111101010000
SRC%0	PIK3CA%0,JAK_f%0	PI-RU	3.0	1	01113111111011001000011111111010110100001100001111110000011111011110101111111111101111011001110111010000101111010111111110011000110001111101010000
SRC%0	PIK3CA%0,CK1_f%0,TGFBR1%0	PI-D4	3.0	1	01113111111011001000011111111010110100001100001111110000011111011110101111111111101111011001110111010000101111010111111110010000110001111101010000
SRC%0	PIK3CA%0,MYC%0	PI-F4	2.0	1	01112111111011001000001111111100110100001100001111110000011111011110101111111111101111011001110111010000101111010111111110011000110101111101010000
SRC%0	PIK3CA%0,STAT3%0	PI-ST	3.0	1	01113111111011001000011111111010110100001100001111110000011111011110101111111111001111011001110111010000101111010111111110011000110001111101010000
SRC%0	PIK3CA%0,PDPK1%0	PI-G2	1.0	1	01111111111011001000001111111100110100000100001111110000011111011110101110000111111111011001110111010000101111010111111110011000110101111101010010
SRC%0	PIK3CA%0,ROCK1%0	PI-G4	3.0	1	01113111111011001000011111111010110100001100001111110000011111011110101111111111101111011001110111010000101111010111111110011000110001111101010000
SRC%0	PIK3CA%0,SYK%0	PI-P5	3.0	1	01113111011011001000011111111010110100001100001111110000011111011110100001111111101111011001110111010000101111010111111110011000110001111101010000
SRC%0	CTNNB1%0,JNK_f%0	PK-JN	n/a	0	-
SRC%0	CTNNB1%0,RSK_f%0	PK-D1	2.0	1	01112111111011001000011111100010110100001100001111110000111111011110101111011111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	CTNNB1%0,IKBKB%0	PK-60	3.0	1	01113111111011001000011111100010110100001100001111110000111111011110101111111111101101011001110110010000101111010111111110011000110001111101010001
SRC%0	CTNNB1%0,TGFBR1%0,ACVR1%0	PK-SB	3.0	1	01113111111011001000011111100010110100001100001111110000111111011110101111111111101111011001110111010000101111000111111100010000110001111101010001
SRC%0	CTNNB1%0,JAK_f%0	PK-RU	3.0	1	01113111111011001000011111100010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	CTNNB1%0,CK1_f%0,TGFBR1%0	PK-D4	3.0	1	01113111111011001000011111100010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110010000110001111101010001
SRC%0	CTNNB1%0,MYC%0	PK-F4	2.0	1	01112111111011001000001111100100110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110011000110101111101010001
SRC%0	CTNNB1%0,STAT3%0	PK-ST	0.0	1	01110111111011001000000101000100110100010100001111110000111111011110101110000111011111011001110111010000101111010111111110011000110101111101010010
SRC%0	CTNNB1%0,PDPK1%0	PK-G2	1.0	1	01111111111011001000001111100100110100010100001111110000111111011110101110000111111111011001110111010000101111010111111110011000110101111101010010
SRC%0	CTNNB1%0,ROCK1%0	PK-G4	3.0	1	01113111111011001000011111100010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	CTNNB1%0,SYK%0	PK-P5	3.0	1	01113111011011001000011111100010110100001100001111110000111111011110100001111111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	JNK_f%0,RSK_f%0	JN-D1	n/a	0	-
SRC%0	JNK_f%0,IKBKB%0	JN-60	n/a	0	-
SRC%0	JNK_f%0,TGFBR1%0,ACVR1%0	JN-SB	n/a	0	-
SRC%0	JNK_f%0,JAK_f%0	JN-RU	n/a	0	-
SRC%0	JNK_f%0,CK1_f%0,TGFBR1%0	JN-D4	n/a	0	-
SRC%0	JNK_f%0,MYC%0	JN-F4	n/a	0	-
SRC%0	JNK_f%0,STAT3%0	JN-ST	n/a	0	-
SRC%0	JNK_f%0,PDPK1%0	JN-G2	n/a	0	-
SRC%0	JNK_f%0,ROCK1%0	JN-G4	n/a	0	-
SRC%0	JNK_f%0,SYK%0	JN-P5	n/a	0	-
SRC%0	RSK_f%0,IKBKB%0	D1-60	2.0	1	01112111111011001000011111111010110100001100001111110000111111011110101111011111101101011001110110010000101111010111111110011000110001111101010001
SRC%0	RSK_f%0,TGFBR1%0,ACVR1%0	D1-SB	2.0	1	01112111111011001000011111111010110100001100001111110000111111011110101111011111101111011001110111010000101111000111111100010000110001111101010001
SRC%0	RSK_f%0,JAK_f%0	D1-RU	2.0	1	01112111111011001000011111111010110100001100001111110000111111011110101111011111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	RSK_f%0,CK1_f%0,TGFBR1%0	D1-D4	2.0	1	01112111111011001000011111111010110100001100001111110000111111011110101111011111101111011001110111010000101111010111111110010000110001111101010001
SRC%0	RSK_f%0,MYC%0	D1-F4	1.0	1	01111111111011001000001111111100110100001100001111110000111111011110101111011111101111011001110111010000101111010111111110011000110101111101010001
SRC%0	RSK_f%0,STAT3%0	D1-ST	1.0	1	01111111111011001000010111111010110100001100001111110000111111011110101111011111001111011001110111010000101111010111111110011000110001111101010001
SRC%0	RSK_f%0,PDPK1%0	D1-G2	1.0	1	01111111111011001000001111111100110100010100001111110000111111011110101110000111111111011001110111010000101111010111111110011000110101111101010010
SRC%0	RSK_f%0,ROCK1%0	D1-G4	2.0	1	01112111111011001000011111111010110100001100001111110000111111011110101111011111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	RSK_f%0,SYK%0	D1-P5	2.0	1	01112111011011001000011111111010110100001100001111110000111111011110100001011111101111011001110111010000101111010111111110011000110001111101010001
