node_ko	drugs	growth	nb_fixpoints	stable_state
PIK3CA%0,SYK%0	PI-P5	1.0	2	11103011010101000010011111111011111100011100001010012111010011111100000001101001110011110010010111000111111101101111100111001000111011000111101100;11103011010101010010011111111011111100011100001010012111010011111100000001101001110011110010010111000111111101100111100101001110011011000111101100;
CTNNB1%0,JNK_f%0	PK-JN	3.0	1	11113001110111010000011111100010111100011100001111110010110111101110011111111101101011110011010101000000111101100101100101100110001011111100010001
CTNNB1%0,RSK_f%0	PK-D1	2.0	1	11112011110111010000011111100010111100011100001111110010110111111110011111011101101011110011010111000000111101100111100101101110011011111101010001
CTNNB1%0,IKBKB%0	PK-60	3.0	1	11113011110111010000011111100010111100011100001111110010110111111110011111111101101001110011010110000000111101100111100101101110011011111101010001
CTNNB1%0,TGFBR1%0,ACVR1%0	PK-SB	3.0	1	11113011110111010000011111100010111100011100001111110010110111111110011111111101101011110011010111000000111101100111100101100110011011111101010001
CTNNB1%0,JAK_f%0	PK-RU	3.0	1	11113011110011010000011111100010111100011100001111110010110111111110011111111101101011110001010111000000111101100111100101101110011011111101010001
CTNNB1%0,CK1_f%0,TGFBR1%0	PK-D4	3.0	1	11113011110111010000011111100010111100011100001111110010110111111110011111111101101011110011010111000000111101100111100101100110011011111101010001
CTNNB1%0,MYC%0	PK-F4	2.0	1	11112011110111010100101111100100110001011100001111110010110111111110011111111101101011110011010111000000111101100111100101101110010111111101010001
CTNNB1%0,STAT3%0	PK-ST	n/a	0	-
CTNNB1%0,PDPK1%0	PK-G2	1.0	1	11111011110111010100101111100100110001010100001111110010110111111110011110001101111011110011010111000000111101100111100101101110010111111101010011
CTNNB1%0,ROCK1%0	PK-G4	3.0	1	11113011110111010000011111100010111100011100001111110010110111111110011111111101101011110011010111000000111101100111100101101110011011111101010001
CTNNB1%0,SYK%0	PK-P5	1.0	2	11103011010101000010011111100011111100011100001010012111010011111100000001101001110011110010010111000111111101101111100111001000111011000111101100;11103011010101010010011111100011111100011100001010012111010011111100000001101001110011110010010111000111111101100111100101001110011011000111101100;
JNK_f%0,RSK_f%0	JN-D1	2.0	1	11112001110111010000011111111010111100011100001111110010110111101110011111011101101011110011010101000000111101100101100101100110001011111100010001
JNK_f%0,IKBKB%0	JN-60	3.0	1	11113001110111010000011111111010111100011100001111110010110111101110011111111101101001110011010100000000111101100101100101100110001011111100010001
JNK_f%0,TGFBR1%0,ACVR1%0	JN-SB	3.0	1	11113001110111010000011111111010111100011100001111110010110111101110011111111101101011110011010101000000111101100101100101100110001011111100010001
JNK_f%0,JAK_f%0	JN-RU	3.0	1	11113001110011010000011111111010111100011100001111110010110111101110011111111101101011110001010101000000111101100101100101100110001011111100010001
JNK_f%0,CK1_f%0,TGFBR1%0	JN-D4	3.0	1	11113001110111010000011111111010111100011100001111110010110111101110011111111101101011110011010101000000111101100101100101100110001011111100010001
JNK_f%0,MYC%0	JN-F4	2.0	1	11112001110111010100101111111100111001011100001111110010110111101110011111111101101011110011010101000000111101100101100101100110001111111100010001
JNK_f%0,STAT3%0	JN-ST	3.0	1	11113001110111010000011111111010111100011100001111110010110111101110011111111101001011110011010101000000111101100101100101100110001011111100010001
JNK_f%0,PDPK1%0	JN-G2	1.0	1	11111001110111010100101111111100111001010100001111110010110111101110011110001101111011110011010101000000111101100101100101100110001111111100010011
JNK_f%0,ROCK1%0	JN-G4	3.0	1	11113001110111010000011111111010111100011100001111110010110111101110011111111101101011110011010101000000111101100101100101100110001011111100010001
JNK_f%0,SYK%0	JN-P5	2.0	1	11113001010101010010011111111010111100011100001010011110010011101100000001101101100011110011010101000111111101100101100101100110001011111100010000
RSK_f%0,IKBKB%0	D1-60	2.0	1	11112011110111010000011111111010111100011100001111110010110111111110011111011101101001110011010110000000111101100111100101101110011011111101010001
RSK_f%0,TGFBR1%0,ACVR1%0	D1-SB	2.0	1	11112011110111010000011111111010111100011100001111110010110111111110011111011101101011110011010111000000111101100111100101100110011011111101010001
RSK_f%0,JAK_f%0	D1-RU	2.0	1	11112011110011010000011111111010111100011100001111110010110111111110011111011101101011110001010111000000111101100111100101101110011011111101010001
RSK_f%0,CK1_f%0,TGFBR1%0	D1-D4	2.0	1	11112011110111010000011111111010111100011100001111110010110111111110011111011101101011110011010111000000111101100111100101100110011011111101010001
RSK_f%0,MYC%0	D1-F4	1.0	1	11111011110111010100101111111100110001011100001111110010110111111110011111011101101011110011010111000000111101100111100101101110010111111101010001
RSK_f%0,STAT3%0	D1-ST	1.0	1	11111011110111010000010111111010111100011100001111110010110111111110011111011101001011110011010111000000111101100111100101101110011011111101010001
RSK_f%0,PDPK1%0	D1-G2	1.0	1	11111011110111010100101111111100110001010100001111110010110111111110011110001101111011110011010111000000111101100111100101101110010111111101010011
RSK_f%0,ROCK1%0	D1-G4	2.0	1	11112011110111010000011111111010111100011100001111110010110111111110011111011101101011110011010111000000111101100111100101101110011011111101010001
RSK_f%0,SYK%0	D1-P5	-1.0	2	11101011010101000110101111111101111001011100001000012111010011111100000001001001110011110010010111001111111101101111100111001000111111000111101110;11101011010101010110101111111101110001011100001000012111010011111100000001001001110011110010010111001111111101100111100101001110010111000111101110;
IKBKB%0,TGFBR1%0,ACVR1%0	60-SB	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101101001110011010110000000111101100111100101100110011011111101010001
IKBKB%0,JAK_f%0	60-RU	3.0	1	11113011110011010000011111111010111100011100001111110010110111111110011111111101101001110001010110000000111101100111100101101110011011111101010001
IKBKB%0,CK1_f%0,TGFBR1%0	60-D4	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101101001110011010110000000111101100111100101100110011011111101010001
IKBKB%0,MYC%0	60-F4	2.0	1	11112011110111010100101111111100110001011100001111110010110111111110011111111101101001110011010110000000111101100111100101101110010111111101010001
IKBKB%0,STAT3%0	60-ST	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101001001110011010110000000111101100111100101101110011011111101010001
IKBKB%0,PDPK1%0	60-G2	1.0	1	11111011110111010100101111111100110001010100001111110010110111111110011110001101111001110011010110000000111101100111100101101110010111111101010011
IKBKB%0,ROCK1%0	60-G4	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101101001110011010110000000111101100111100101101110011011111101010001
